SM ,verb,count,YG ,verb,count,JYP ,verb,count
1,하다/Verb,1210,1,하다/Verb,261,1,하다/Verb,808
2,보다/Verb,585,2,보다/Verb,113,2,보다/Verb,418
3,않다/Verb,272,3,않다/Verb,55,3,않다/Verb,196
4,모르다/Verb,219,4,해보다/Verb,54,4,싶다/Verb,185
5,싶다/Verb,211,5,따르다/Verb,54,5,모르다/Verb,175
6,내다/Verb,204,6,싶다/Verb,44,6,돼다/Verb,164
7,되다/Verb,185,7,버리다/Verb,35,7,나르다/Verb,147
8,오다/Verb,181,8,잊다/Verb,33,8,내다/Verb,140
9,나르다/Verb,172,9,알다/Verb,30,9,버리다/Verb,125
10,버리다/Verb,159,10,내다/Verb,30,10,주다/Verb,112
11,웃다/Verb,153,11,돼다/Verb,30,11,알다/Verb,109
12,알다/Verb,139,12,해주다/Verb,29,12,해주다/Verb,102
13,돼다/Verb,137,13,자다/Verb,25,13,되다/Verb,99
14,들다/Verb,128,14,모르다/Verb,25,14,오다/Verb,93
15,가다/Verb,124,15,치다/Verb,25,15,가다/Verb,91
16,해보다/Verb,108,16,떠나다/Verb,21,16,나다/Verb,77
17,나다/Verb,105,17,뛰다/Verb,21,17,기다리다/Verb,77
18,기다리다/Verb,96,18,되다/Verb,20,18,못/VerbPrefix,76
19,못/VerbPrefix,95,19,남다/Verb,19,19,바라보다/Verb,73
20,해주다/Verb,89,20,만나다/Verb,18,20,믿다/Verb,66
21,주다/Verb,89,21,안/VerbPrefix,18,21,들다/Verb,65
22,빠지다/Verb,83,22,멈추다/Verb,18,22,보이다/Verb,59
23,멈추다/Verb,81,23,나가다/Verb,17,23,해보다/Verb,57
24,찾다/Verb,78,24,안다/Verb,17,24,자다/Verb,57
25,다가오다/Verb,78,25,가다/Verb,16,25,떠나다/Verb,53
26,보이다/Verb,77,26,나르다/Verb,16,26,안/VerbPrefix,51
27,말다/Verb,73,27,들다/Verb,16,27,말다/Verb,45
28,대다/Verb,66,28,느끼다/Verb,16,28,만나다/Verb,45
29,믿다/Verb,65,29,못/VerbPrefix,15,29,안다/Verb,42
30,따르다/Verb,65,30,다가오다/Verb,15,30,보내다/Verb,40
31,잡다/Verb,65,31,믿다/Verb,14,31,듣다/Verb,40
32,놓다/Verb,64,32,나다/Verb,14,32,만들다/Verb,39
33,뛰다/Verb,63,33,보이다/Verb,14,33,두다/Verb,39
34,쉬다/Verb,62,34,잡다/Verb,14,34,웃다/Verb,37
35,걸다/Verb,61,35,쉬다/Verb,14,35,다가오다/Verb,37
36,어리다/Verb,61,36,오다/Verb,13,36,빠지다/Verb,35
37,안다/Verb,59,37,끝나다/Verb,12,37,쉬다/Verb,35
38,떨리다/Verb,59,38,놓다/Verb,11,38,이르다/Verb,34
39,바라보다/Verb,56,39,보내다/Verb,11,39,흔들다/Verb,34
40,이다/Verb,56,40,불다/Verb,11,40,이다/Verb,33
41,느끼다/Verb,54,41,빠지다/Verb,10,41,찾다/Verb,33
42,차다/Verb,52,42,춤추다/Verb,10,42,지우다/Verb,32
43,불다/Verb,51,43,참다/Verb,10,43,마주치다/Verb,31
44,자다/Verb,50,44,놀다/Verb,9,44,나오다/Verb,30
45,감다/Verb,50,45,이다/Verb,9,45,걸다/Verb,29
46,닿다/Verb,49,46,달다/Verb,9,46,보여주다/Verb,29
47,뜨다/Verb,49,47,갈다/Verb,9,47,놓다/Verb,27
48,빠져들다/Verb,49,48,기다리다/Verb,8,48,따르다/Verb,27
49,그리다/Verb,45,49,지우다/Verb,8,49,꺼지다/Verb,27
50,맞추다/Verb,45,50,기다/Verb,8,50,써다/Verb,27
